Name,ApplyLink,Eligibility,Stream,Mode,Amount,Address,Status
Swajan Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Sabun Bhavan, Sheriff Devji Street, Mumbai - 400003",Available
Dilipkumar Tahni Medical Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bhajipala Street, Mumbai - 400003",Available
Ekta Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Panchratna, Opera House, Mumbai - 400004",Available
Naunihal Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bhupati Chambers, Mathew Road, Mumbai - 400004",Available
Churchgate Lions Heart Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Murad Mansion, Opera House, Mumbai - 400004",Available
Taruk Charity Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Clover Apartments, Colaba, Mumbai - 400005",Available
Bhikhiben Shirinbhai Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Jupiter Bldg., Cuffe Parade, Mumbai - 400005",Available
Ratanbai & Hormusji Bhabha Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Sea Foam, Cuffe Parade, Mumbai - 400005",Available
Jeejeebhoy Dadabhoy Charity Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Pilot Bunder Road, Colaba, Mumbai - 400005",Available
Amirilal Ghelabhai Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Walkeshwar Road, Mumbai - 400006",Available
Garware Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Chowpatty Chambers, Mumbai - 400007",Available
M. J. Patel Public Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"P. D'Mello Road, Mumbai - 400009",Available
Bombay Silk Mills Ltd.,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Lalbaug, Mumbai - 400012",Available
Goodlass Nerolac Paints Ltd.,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Lower Parel, Mumbai - 400013",Available
Kothariswamiji,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Dadar, Mumbai - 400014",Available
Sitabai Abhyankar Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Mahim, Mumbai - 400016",Available
Eskay Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Worli, Mumbai - 400018",Available
Anchor Electronics & Electricals Pvt Ltd,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"New Marine Lines, Mumbai - 400020",Available
Lotus Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Near Liberty Cinema, Marine Lines, Mumbai - 400020",Available
Bombay Medical Aid Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bombay Hospital, Marine Lines, Mumbai - 400020",Available
Fazalbhoy Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Marine Lines, Mumbai - 400020",Available
M. C. Ghia Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Opp. Churchgate Station, Mumbai - 400020",Available
Chief Minister's Relief Fund,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Mantralaya, Mumbai - 400020",Available
Anand Ashram Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Churchgate, Mumbai - 400020",Available
Seth Mafatlal Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Backbay Reclamation, Mumbai - 400021",Available
Om Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Nariman Point, Mumbai - 400021",Available
Hirachand Ambani Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Maker Chambers IV, Nariman Point, Mumbai - 400021",Available
Ramkrishna Bajaj Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Nariman Point, Mumbai - 400021",Available
Asian Paints Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Nariman Point, Mumbai - 400021",Available
G. D. Birla Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Nariman Point, Mumbai - 400021",Available
Jeevan Prakash,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Sion East, Mumbai - 400022",Available
Mahavir Manav Rahat Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Sion East, Mumbai - 400022",Available
N. M. Wadia Charities,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"M. G. Road, Mumbai - 400023",Available
Ratan Tata Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bombay House, Mumbai - 400023",Available
Dorabji Tata Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Bombay House, Mumbai - 400023",Available
Century Seva Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Worli, Mumbai - 400025",Available
Siddhivinayak Temple Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Prabhadevi, Mumbai - 400025",Available
Helping Hand Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Vile Parle West, Mumbai - 400056",Available
Adinath Jankalyan Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Andheri West, Mumbai - 400058",Available
Shree Venkateshwara Nidhi,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Goregaon East, Mumbai - 400063",Available
Jeevan Deep Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Ghatkopar East, Mumbai - 400077",Available
Jalaram Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Mulund West, Mumbai - 400080",Available
Banaskantha Pragati Mandal,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Borivali West, Mumbai - 400092",Available
Excell Process Charitable Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Andheri East, Mumbai - 400093",Available
Dhirajlal Talkchand Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Malad East, Mumbai - 400097",Available
Supertech Service Ltd,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,Thane - 400604,Available
Prime Minister's Fund,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,New Delhi - 110011,Available
Ministry of Health & Family Welfare,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,New Delhi - 110011,Available
Haji Ali Dargah Trust,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Haji Ali, Mumbai - 400036",Available
Central Bank Executor & Trustee,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Fort, Mumbai - 400001",Available
Marine Lines Junior Chamber,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"C.P. Tank Road, Mumbai - 400004",Available
Rotary Club of Bombay,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Matunga, Mumbai - 400019",Available
Ferojsha Godrej Foundation,,"Students scoring 75% or above, from any stream, studying in a recognized institution, with family income up to ₹2.5–5 lakh are eligible.",All Streams,offline,Partial Tuition Fee Support,"Hajarimal Somani Marg, Mumbai - 400020",Available
,,,,,,,
,,,,,,,
,,,,,,,
Jammu and Kashmir Prime Minister Special Scholarship Scheme,aicte-jk-scholarship-gov.in,For Jammu and Kashmir Students Only,All Streams,state,Partial Tution Fee,,Available
Jammu and Kashmir Merit Scholarship,aicte-jk-scholarship-gov.in,For Jammu and Kashmir Students Only,All Streams,state,Partial Tution Fee,,Available
Maharashtra Rajarshi Shahu Maharaj Merit Scholarship,https://mahadbt.maharashtra.gov.in/,For Maharashtra Students Only,All Streams,state,Partial Tution Fee,,Available
Maharashtra Post Matric Scholarship SC,https://mahadbt.maharashtra.gov.in/,For Maharashtra Students Only,All Streams,state,Partial Tution Fee,,Available
Maharashtra EBC Tuition Fee Scholarship,https://mahadbt.maharashtra.gov.in/,For Maharashtra Students Only,All Streams,state,Partial Tution Fee,,Available
Maharashtra Minority Scholarship,https://mahadbt.maharashtra.gov.in/,For Maharashtra Students Only,All Streams,state,Partial Tution Fee,,Available
Maharashtra Tribal Scholarship,https://mahadbt.maharashtra.gov.in/,For Maharashtra Students Only,All Streams,state,Partial Tution Fee,,Available
Karnataka Vidyasiri Scholarship,https://ssp.postmatric.karnataka.gov.in/,For Karnataka Students Only,All Streams,state,Partial Tution Fee,,Available
Karnataka Fee Reimbursement Scheme,https://ssp.postmatric.karnataka.gov.in/,For Karnataka Students Only,All Streams,state,Partial Tution Fee,,Available
Karnataka Incentive for SSLC Students,https://ssp.postmatric.karnataka.gov.in/,For Karnataka Students Only,All Streams,state,Partial Tution Fee,,Available
West Bengal Swami Vivekananda Merit Cum Means Scholarship,https://svmcm.wbhed.gov.in/,For West Bengal Students Only,All Streams,state,Partial Tution Fee,,Available
West Bengal Oasis Scholarship SC ST OBC,https://oasis.gov.in/,For West Bengal Students Only,All Streams,state,Partial Tution Fee,,Available
West Bengal Kanyashree Scholarship,https://wbkanyashree.gov.in/,For West Bengal Students Only,All Streams,state,Partial Tution Fee,,Available
Gujarat Mukhyamantri Yuva Swavalamban Yojana,https://www.digitalgujarat.gov.in/,For Gujarat Students Only,All Streams,state,Partial Tution Fee,,Available
Gujarat Post Matric Scholarship,https://www.digitalgujarat.gov.in/,For Gujarat Students Only,All Streams,state,Partial Tution Fee,,Available
Gujarat Chief Minister Scholarship Scheme,https://www.digitalgujarat.gov.in/,For Gujarat Students Only,All Streams,state,Partial Tution Fee,,Available
Rajasthan CM Higher Education Scholarship Scheme,https://sso.rajasthan.gov.in/,For Rajasthan Students Only,All Streams,state,Partial Tution Fee,,Available
Rajasthan Post Matric Scholarship,https://sso.rajasthan.gov.in/,For Rajasthan Students Only,All Streams,state,Partial Tution Fee,,Available
Rajasthan Devnarayan Scholarship Scheme,https://sso.rajasthan.gov.in/,For Rajasthan Students Only,All Streams,state,Partial Tution Fee,,Available
Uttar Pradesh Post Matric Scholarship,https://scholarship.up.gov.in/,For Uttar Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Uttar Pradesh Dashmottar Scholarship,https://scholarship.up.gov.in/,For Uttar Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Uttar Pradesh Pre Matric Scholarship,https://scholarship.up.gov.in/,For Uttar Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Madhya Pradesh Gaon Ki Beti Scholarship,https://scholarshipportal.mp.nic.in/,For Madhya Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Madhya Pradesh Vikramaditya Scholarship,https://scholarshipportal.mp.nic.in/,For Madhya Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Madhya Pradesh Pratibha Kiran Scholarship,https://scholarshipportal.mp.nic.in/,For Madhya Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Bihar Post Matric Scholarship,https://medhasoft.bih.nic.in/,For Bihar Students Only,All Streams,state,Partial Tution Fee,,Available
Bihar Chief Minister Kanya Utthan Yojana,https://medhasoft.bih.nic.in/,For Bihar Students Only,All Streams,state,Partial Tution Fee,,Available
Bihar Mukhyamantri Medhavi Yojana,https://medhasoft.bih.nic.in/,For Bihar Students Only,All Streams,state,Partial Tution Fee,,Available
Punjab Post Matric Scholarship SC,https://scholarships.punjab.gov.in/,For Punjab Students Only,All Streams,state,Partial Tution Fee,,Available
Punjab Merit Scholarship Scheme,https://scholarships.punjab.gov.in/,For Punjab Students Only,All Streams,state,Partial Tution Fee,,Available
Punjab Ashirwad Scholarship Scheme,https://scholarships.punjab.gov.in/,For Punjab Students Only,All Streams,state,Partial Tution Fee,,Available
Haryana Post Matric Scholarship SC BC,https://harchhatravratti.haryana.gov.in/,For Haryana Students Only,All Streams,state,Partial Tution Fee,,Available
Haryana State Merit Scholarship,https://harchhatravratti.haryana.gov.in/,For Haryana Students Only,All Streams,state,Partial Tution Fee,,Available
Haryana Consolidated Stipend Scheme,https://harchhatravratti.haryana.gov.in/,For Haryana Students Only,All Streams,state,Partial Tution Fee,,Available
Odisha Biju Yuva Sashaktikaran Yojana,https://scholarship.odisha.gov.in/,For Odisha Students Only,All Streams,state,Partial Tution Fee,,Available
Odisha Post Matric Scholarship,https://scholarship.odisha.gov.in/,For Odisha Students Only,All Streams,state,Partial Tution Fee,,Available
Odisha Junior Merit Scholarship,https://scholarship.odisha.gov.in/,For Odisha Students Only,All Streams,state,Partial Tution Fee,,Available
Chhattisgarh Post Matric Scholarship,https://postmatric-scholarship.cg.nic.in/,For Chhattisgarh Students Only,All Streams,state,Partial Tution Fee,,Available
Chhattisgarh Chief Minister Scholarship,https://postmatric-scholarship.cg.nic.in/,For Chhattisgarh Students Only,All Streams,state,Partial Tution Fee,,Available
Jharkhand eKalyan Post Matric Scholarship,https://ekalyan.cgg.gov.in/,For Jharkhand Students Only,All Streams,state,Partial Tution Fee,,Available
Jharkhand Chief Minister Scholarship,https://ekalyan.cgg.gov.in/,For Jharkhand Students Only,All Streams,state,Partial Tution Fee,,Available
Kerala eGrantz Scholarship,https://egrantz.kerala.gov.in/,For Kerala Students Only,All Streams,state,Partial Tution Fee,,Available
Kerala Merit Scholarship,https://egrantz.kerala.gov.in/,For Kerala Students Only,All Streams,state,Partial Tution Fee,,Available
Tamil Nadu BC MBC Scholarship,https://tnscholarship.tn.gov.in/,For Tamil Nadu Students Only,All Streams,state,Partial Tution Fee,,Available
Tamil Nadu First Graduate Scholarship,https://tnscholarship.tn.gov.in/,For Tamil Nadu Students Only,All Streams,state,Partial Tution Fee,,Available
Tamil Nadu Chief Minister Scholarship,https://tnscholarship.tn.gov.in/,For Tamil Nadu Students Only,All Streams,state,Partial Tution Fee,,Available
Telangana Post Matric Scholarship,https://telanganaepass.cgg.gov.in/,For Telangana Students Only,All Streams,state,Partial Tution Fee,,Available
Telangana Pre Matric Scholarship,https://telanganaepass.cgg.gov.in/,For Telangana Students Only,All Streams,state,Partial Tution Fee,,Available
Andhra Pradesh Jagananna Vidya Deevena,https://epass.apcfss.in/,For Andhra Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Andhra Pradesh Pre Matric Scholarship,https://epass.apcfss.in/,For Andhra Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Assam Pragyan Bharati Scheme,https://directorateofhighereducation.assam.gov.in/,For Assam Students Only,All Streams,state,Partial Tution Fee,,Available
Assam Post Matric Scholarship,https://directorateofhighereducation.assam.gov.in/,For Assam Students Only,All Streams,state,Partial Tution Fee,,Available
Uttarakhand Post Matric Scholarship,https://scholarship.uk.gov.in/,For Uttarakhand Students Only,All Streams,state,Partial Tution Fee,,Available
Uttarakhand Pre Matric Scholarship,https://scholarship.uk.gov.in/,For Uttarakhand Students Only,All Streams,state,Partial Tution Fee,,Available
Himachal Pradesh Post Matric Scholarship,https://hpepass.cgg.gov.in/,For Himachal Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Himachal Pradesh Pre Matric Scholarship,https://hpepass.cgg.gov.in/,For Himachal Pradesh Students Only,All Streams,state,Partial Tution Fee,,Available
Delhi Merit Cum Means Scholarship,https://edistrict.delhigovt.nic.in/,For Delhi Students Only,All Streams,state,Partial Tution Fee,,Available
Delhi Post Matric Scholarship,https://edistrict.delhigovt.nic.in/,For Delhi Students Only,All Streams,state,Partial Tution Fee,,Available
Goa Dayanand Bandodkar Scholarship,https://goascholarship.gov.in/,For Goa Students Only,All Streams,state,Partial Tution Fee,,Soon
Tripura Post Matric Scholarship,https://scholarship.tripura.gov.in/,For Tripura Students Only,All Streams,state,Partial Tution Fee,,Soon
Meghalaya Post Matric Scholarship,https://megeducation.gov.in/,For Meghalaya Students Only,All Streams,state,Partial Tution Fee,,Soon
Arunachal Pradesh Post Matric Scholarship,https://scholarity.arunachal.gov.in/,For Arunachal Pradesh Students Only,All Streams,state,Partial Tution Fee,,Soon
Arunachal Pradesh Pre Matric Scholarship,https://scholarity.arunachal.gov.in/,For Arunachal Pradesh Students Only,All Streams,state,Partial Tution Fee,,Soon
,,,,,,,
,,,,,,,
,,,,,,,
AICTE Pragati Scholarship for Girls,https://www.aicte.gov.in/schemes/students-development-schemes/Pragati/General-Instructions,Girls students diploma and degree,"Diploma, BE/BTech",loan,"₹50,000/year",,Available
AICTE Saksham Scholarship,https://www.aicte.gov.in/schemes/students-development-schemes/Saksham/General-Instructions,Differently abled students,"Diploma, BE/BTech",loan,"₹50,000/year",,Available
AICTE Swanath Scholarship,https://www.aicte.gov.in/schemes/students-development-schemes/Swanath/General-Instructions,Orphan or covid affected students,"Diploma, BE/BTech",loan,"₹50,000/year",,Available
AICTE PG Scholarship GATE GPAT,https://www.aicte.gov.in/schemes/students-development-schemes/PG-Scholarship-Scheme/General-instruction,PG students with GATE or GPAT,"MTech, MPharm",loan,"₹12,400/month",,Available
VLS Interest Free Loan Scheme,https://sites.google.com/site/mulundrotaryvls/home,12th passed,ALL Streams,loan,"₹60,000/year",,Available
tulsianitrus,https://tulsianitrust.com/how-can-we-help-you/,Passed Exams With High Scores,All Streams,loan,"₹60,000/year",,Available
MESCO HCES Scheme,,Student From Weaker Section Background income < 2.5L,ALL Streams,loan,"₹60,000/year",,
Sahu Jain Trust,http://sahujaintrust.timesofindia.com/,12th / Both / 60% / No Income Limit,All Streams,loan,"₹2,500 to  ₹25,000 per year",,Available
Met Loan Scholarship,https://www.met.edu/institute/institute_of_post_graduate_diploma_in_management/education_loan_and_scholarship,12/SY / Pref Girls / Percentage Above 60% ,"Engineering,, Law, Medical",Online/Post,Not specified,,Available
Central Sector Interest,https://xn--i1bj3fqcyde.xn--11b7cb3a6a.xn--h2brj9c/category/education-learning/subcategory/grants-loans-scholarships/details/central-sector-interest-subsidy-csis-in-education-loan,Students of 12th (Female & Male) with family income less than 4.5L are eligible.,Professional/Technical,loan,Interest Subsidy,,Available
Padho Pardesh,https://xn--i1bj3fqcyde.xn--11b7cb3a6a.xn--h2brj9c/hi/category/education-learning/subcategory/grants-loans-scholarships/details/scheme-of-padho-pardesh-in-education-loan,Undergraduate (UG) students (Female & Male) with family income less than 6L are eligible.,PG Overseas,loan,Interest Subsidy,,Available